age,length_mm
1,124
1,110
2,195
3,285
4,325
4,380
4,350
4,317
4,385
4,370
4,375
4,320
4,304
4,340
4,310
5,515
5,450
5,480
5,460
5,400
5,440
5,470
5,425
5,515
5,485
6,540
6,475
6,400
6,555
6,575
6,490
6,530
6,600
6,560
6,460
6,400
6,400
6,590
6,490
6,505
6,530
6,435
6,465
6,490
6,595
7,560
7,510
7,615
7,580
7,640
7,550
7,525
7,570
7,620
7,520
7,620
7,640
7,595
7,570
7,540
7,630
7,560
7,560
7,615
7,580
7,590
7,585
7,510
7,505
7,575
7,500
8,550
8,646
8,570
8,585
8,640
8,600
8,560
8,650
8,635
8,580
8,570
8,625
8,600
8,615
8,590
8,630
8,615
8,600
8,620
8,600
8,695
8,630
8,545
8,550
8,650
8,590
8,560
8,560
9,620
9,690
9,615
9,610
9,580
9,660
9,850
9,680
9,610
10,710
10,640
10,725
10,590
10,700
10,650
10,550
10,918
10,575
10,675
10,660
11,750
11,640
11,935
11,615
12,685
12,750
12,640
12,805
12,785
12,900
12,910
12,785
13,610
13,775
13,780
13,930
14,635
14,870
15,920
16,725
16,1000
16,980
16,1050
17,790
17,720
17,920
17,850
17,960
17,1035
18,1000
18,1040
19,865
20,940
20,860
20,850
22,820
22,850
22,1025
23,880
23,905
24,800
25,980
